id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
3e258bee-043f-4f73-8948-b3b2fb9f1efb,Fulton,IN100201,BL1001,Divine Depth,Silk Cream Divine Depth,F,38,Blouse,Dupion Silk,Silk Cream,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3e77a887-e7bc-42c8-8d2b-1ba13e286dd7,Fulton,IN100043,BL1001,Divine Depth,Red Divine Depth - 48,F,48,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3f5cff12-c13a-4952-8546-c893f9ac3fe2,Fulton,IN100242,BL1001,Divine Depth,Silk Pear Green Divine Depth,F,42,Blouse,Dupion Silk,Silk Pear Green,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3f7c9afb-c72e-4bd1-8807-8fd338712913,Fulton,IN100039,BL1001,Divine Depth,Beige Divine Depth - 40,F,40,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
408745b7-5325-4b01-be23-b6e548b1b881,Fulton,IN100065,BL1007,Charm Slope,Gulabi Charm Slope - 36,F,36,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
40bac2c7-266f-4415-980b-dbef3296eba4,Fulton,IN100036,BL1001,Divine Depth,Green Divine Depth - 36,F,36,Blouse,Rayon,Green,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
427c6163-60e3-487a-bf8c-1bf83a296b16,Fulton,IN100162,BL1004,Forever Classy,Black Forever Classy - 36,F,36,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
439dc90b-1398-4fe0-b20e-8253712cf793,Fulton,IN100161,BL1004,Forever Classy,Black Forever Classy - 44,F,44,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
43e51592-a00e-4618-82f4-a9d2f8e1a3a0,Fulton,IN100138,BL1001,Divine Depth,Velvet Black Divine Depth,F,40,Blouse,Velvet,Velvet Black,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
45e6199d-e879-47ec-b0c3-95a28bd3fcfb,Fulton,IN100113,BL1007,Charm Slope,Red Charm Slope - 44,F,44,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
48490f42-178b-43e2-83e4-9357598aa5ec,Fulton,IN100165,BL1006,Modern Twist,Black Modern Twist - 34,F,34,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
